tweet_id,tweet_text
1,"@ggiittiikkaa congress is deep rooted in corruption, black money, power hungry.. #CongressMuktBharat"
2,"#AskSportsTak 
Kl average in test(opener)  - 36
Rohit average in test (6 or 7no) - 39.6 .
Why kl rahul is permanent… https://t.co/t3jRu1PXcE"
3,"RT @DattaVikramjit: Those who support GST are anti national :- @PChidambaram_IN
How did Malaya and other runaway 
Government failure :- @PC…"
4,"Check at @INCIndia headquarters, he may be hiding there, check sonia, rahul homes,he can hide there, even check SC… https://t.co/5Do89yNZI7"
5,"@RahulGandhi Ironically, A large section of so called ""Spineless"" Media is with Rahul and Anti Modi."
6,@fayedsouza Rahul Gandhi from Standup comedian's Industry...
7,@ashokepandit @rahul_sharma108 Hard earned money of taxpayers is not for leisure.
8,"RT @TimesNow: SENSATIONAL CHARGE by @Swamy39. He says, P Chidambaram is Gandhis’ ‘money launderer’. | INDIA UPFRONT with Rahul Shivshankar.…"
9,"RT @TimesNow: SENSATIONAL CHARGE by @Swamy39. He says, P Chidambaram is Gandhis’ ‘money launderer’. | INDIA UPFRONT with Rahul Shivshankar.…"
10,"@RahulEaswar Crazy,in fact, dear Rahul. How on earth is this possible?"
11,"RT @taran_adarsh: Akshaye Khanna... Character poster of #Section375... Costars Richa Chadha, Rahul Bhat and Meera Chopra... Directed by Aja…"
12,RT @iMac_too: Ignominy. Pappu @rahulgandhi family's consigliere is now officially an absconding offender https://t.co/kVYiFDqxkr
13,"RT @jaiprakashshah2: @RahulGandhi Hey Rahul gandi look how your cental Gov done with Amit shah and Modi Ji and how modi Ji co-operated,but…"
14,@BeingRobinhood7 @RahulVerma4860 bro nothing against bollywood heroes.  Rahul is against south films so I am targetting at him.
15,RT @AdityaRajKaul: Important. Setback for Pakistan. Senior US State Department official has just spoken off record to a group of journalist…
16,@GayatriBhargav1 @iamnagarjuna @Rakulpreet @23_rahulr MR. Rahul ur not fit for Director  with  Star Hero Nagarjuna
17,"RT @5Forty3: Whether it is Imran Khan or Rahul Gandhi, all you see is sheer impotent anger directed against @narendramodi on Social Media a…"
18,"RT @Swamy39: Nowadays Pioneer’s front page is giving the most clinically valid and correct reporting of PC type cases. Who does it:,The gre…"
19,"Rahul Gandhi should ask himself  did they made #CBI accountable ,free from clutch of political pressure? Answer is… https://t.co/BBTO1APL0l"
20,"RT @DeccanHerald: Modi govt using ED, CBI and sections of media to assassinate the character of #Chidambaram: Rahul Gandhi. 

https://t.co/…"
21,RT @chetanshetty9: Mumbra has become a lawless ghetto ! They have zero fear for law enforcement officers ! No prizes for guessing which com…
22,"RT @jaiprakashshah2: @RahulGandhi Hey Rahul gandi look how your cental Gov done with Amit shah and Modi Ji and how modi Ji co-operated,but…"
23,RT @Ibne_Sena: Acha @Twitter now I'm violating Pakistani laws 😄 https://t.co/DDBcbcoe8g
24,RT @TheAngryLord: Rahul Gandhi was so happy when UPA was in power. Anticipation of arrest of #PChidambaram is certainly causing fear https:…
25,@RahulGandhi Public is waiting for that happiest day when rahul &amp; his family will b behind d bars...
26,"RT @TimesNow: SENSATIONAL CHARGE by @Swamy39. He says, P Chidambaram is Gandhis’ ‘money launderer’. | INDIA UPFRONT with Rahul Shivshankar.…"
27,RT @TheAngryLord: Rahul Gandhi was so happy when UPA was in power. Anticipation of arrest of #PChidambaram is certainly causing fear https:…
28,"This is what's wrong with faith.
People troubling and beating humans coz they want to worship a God.
History shows… https://t.co/MPonvUA5Rz"
29,"RT @jaiprakashshah2: @RahulGandhi Hey Rahul gandi look how your cental Gov done with Amit shah and Modi Ji and how modi Ji co-operated,but…"
30,@fayedsouza My Friend Rahul just Lost His Job Recently.
31,"After Priyanka, Rahul Gandhi comes out in support of Chidambaram, says Modi govt using CBI and ED

After Priyanka G… https://t.co/VPvcbrGXUy"
32,"RT @htTweets: .@RahulGandhi accuses government of using central agencies to malign #PChidambaram

https://t.co/Xw5tm3kqSX https://t.co/vaca…"
33,@timesofindia congress is powerful than security council without support from mainstream people !see if there were a support !!Rahul is ✊✊
34,".@RahulGandhi accuses government of using central agencies to malign #PChidambaram

https://t.co/Xw5tm3kqSX https://t.co/vacaTEBhU5"
35,"RT @BalaKri74583199: Missing Alert!

Name: P Chidambaram
Last seen: In New Delhi
Height: Of Corruption
Colour: Similar to Rahul Gandhi’s Fu…"
36,"RT @TimesNow: SENSATIONAL CHARGE by @Swamy39. He says, P Chidambaram is Gandhis’ ‘money launderer’. | INDIA UPFRONT with Rahul Shivshankar.…"
37,"RT @IndianExpress: “Modi’s Govt is using the ED, CBI &amp; sections of a spineless media to character assassinate Mr Chidambaram,"" Rahul said…"
38,"Heard @INCIndia is planning to install Sachin Pilot, Scindia or Manmohan (all worse than Rahul) as next President?… https://t.co/NCKUdsLEzB"
39,"#Prabhas  &amp; #ShraddhaKapoor   coming at  #KapilSharma  show today  
😍😍

#Saaho promotions 
Mumbai Hindi https://t.co/CGBirxiRRl"
40,"RT @ThePrintIndia: Congress leaders Rahul &amp; Priyanka Gandhi say Chidambaram being ‘hunted down’

https://t.co/1pDp451LF2"
41,"Has CBI checked the residences of Rahul,Sonia and Priyanka. In all possibilities the kingpin may be hiding there.Af… https://t.co/8N6yQ4huoY"
42,@Queen36040611 Yup she is here 😄
43,"RT @Outlookindia: ""Modi's Govt is using the ED, CBI &amp; sections of a spineless media to character assassinate Mr. Chidambaram,"" tweeted 
@Ra…"
44,@SunnyLeone Your hands looking like shit
45,"RT @sujataanandan: Well, I do want to see Raj Thackeray take on the Modi govt. So far he is the only one apart from Rahul Gandhi who has pr…"
46,"RT @IndiaToday: Rahul Gandhi slams Centre over the action of probe agencies against former Union finance minister P Chidambaram.
https://t.…"
47,"RT @psychosid_: Short tempered people r supporting #himaja &amp; #MaheshVitta

Sensitive people r supporting #ravi &amp; #Jyothi

Intelligent peopl…"
48,"MRS Priyanka, Rahul Gandhi WHERE ARE YOU WHEN HE F.M. DOING SUCH WORKS FOR YOUR. COURT IS DOING EVERYTHING DON'T BARKING CHOR CONGRESS"
49,RT @SwamiGeetika: @priyankagandhi @PChidambaram_IN Did Rahul Gandhi even mean that no corrupt should escape the clutches of law? Why Congre…
50,RT @TheAngryLord: Rahul Gandhi was so happy when UPA was in power. Anticipation of arrest of #PChidambaram is certainly causing fear https:…
51,RT @TimesNow: #Breaking | No hearing today on the Anticipatory Bail plea of @PChidambaram_IN. Supreme Court denies urgent hearing of the ba…
52,"RT @republic: #LIVE on #ChidambaramMissing | Rahul Gandhi backs P. Chidambaram, claims 'character assassination' 

Stay tuned for non-stop…"
53,"RT @Pun_Starr: Few days ago, Governor Satya Pal Mallik invited Rahul Gandhi to J&amp;K to see that situation is normal.

Today, Ghulam Nabi Aza…"
54,"RT @NH_India: #Congress leader #RahulGandhi on Wednesday accused the government of using the #ED, the #CBI and sections of the media to ""ch…"
55,"RT @jaiprakashshah2: @RahulGandhi Hey Rahul gandi look how your cental Gov done with Amit shah and Modi Ji and how modi Ji co-operated,but…"
56,"RT @Loneranger9new: Tadipar is just on his revenge spree, not going to work for long, Rahul Ji will fix all these illiterate bhakts in 2024."
57,RT @TheAngryLord: Rahul Gandhi was so happy when UPA was in power. Anticipation of arrest of #PChidambaram is certainly causing fear https:…
58,"RT @jaiprakashshah2: @RahulGandhi Hey Rahul gandi look how your cental Gov done with Amit shah and Modi Ji and how modi Ji co-operated,but…"
59,"RT @Pun_Starr: Few days ago, Governor Satya Pal Mallik invited Rahul Gandhi to J&amp;K to see that situation is normal.

Today, Ghulam Nabi Aza…"
60,RT @9GAG: How my internet works https://t.co/j2RyPOu29G
61,"RT @mvmeet: The biggest achievement of PM Modi is:

He stopped Congress leaders from looting India
And forced them to apply for bail

Eg: S…"
62,"RT @jaiprakashshah2: @RahulGandhi Hey Rahul gandi look how your cental Gov done with Amit shah and Modi Ji and how modi Ji co-operated,but…"
63,"RT @iamsareer: @RahulGandhi Only condemning will not help Rahul.
Get up"
64,"@RahulGandhi Indian ppl still sleeping
Select the good leader like@Rahul gandhi"
65,"Well @divyaspandana lost her job..
kya yehi Rahul Gandhi k women empowerment hai?
https://t.co/DoWhVSH4Py"
66,"RT @BalaKri74583199: Missing Alert!

Name: P Chidambaram
Last seen: In New Delhi
Height: Of Corruption
Colour: Similar to Rahul Gandhi’s Fu…"
67,"@spark1ing_sugar @EmmaDee77 Let’s do it! I won last year, was originally gutted when I picked out Rahul but he came… https://t.co/RcTjUHlE7w"
68,"@fayedsouza Rahul Gandhi Lost his job as Congress President.
Industry- Politics"
69,@ARCsays @CabipoolMUM @narendramodi @PMOIndia @Dev_Fadnavis in ur own words 32k people yet use it right daily! a bi… https://t.co/7ZVai8Ojk4
70,"RT @jgopikrishnan70: CBI registers new FIR dtd Aug 19 against Prannoy Roy, Wife Radhika, Vikram Chandra, NDTV and public officials under Pr…"
71,"Prabhas  during Saaho shoot
Still https://t.co/MoG09CEm0x"
72,Rahul Gandhi accuses govt of using central agencies to malign Chidambaram | india news - https://t.co/6A0AeLwrAl
73,RT @TheAngryLord: Rahul Gandhi was so happy when UPA was in power. Anticipation of arrest of #PChidambaram is certainly causing fear https:…
74,RT @TheAngryLord: Rahul Gandhi was so happy when UPA was in power. Anticipation of arrest of #PChidambaram is certainly causing fear https:…
75,RT @amitksingh01: @_ajaykumargupta possible...last month only PC had spoken about the discomfort in Congress due to uncertainty after Rahul…
76,RT @TimesNow: #Breaking | No hearing today on the Anticipatory Bail plea of @PChidambaram_IN. Supreme Court denies urgent hearing of the ba…
77,RT @BrijMohanBhama: @hvgoenka This is reality of Indian🇮🇳 economy 👍
78,"@CJI_SC @rsprasad @lawmininida
@AmitShahOffice
Govt using ED, CBI and sections of the media to character assassinat… https://t.co/Vl5ELPj5e2"
79,@RahulGandhi Mr. Rahul stay on one side. Don’t behave like Modi bakthas
80,"1600+ combined raid points
65 combined Super 10s
1 epic battle! 

Rahul 'Showman' Chaudhari or Deepak Niwas Hooda –… https://t.co/X6mI1l0FAg"
81,"RT @ani_digital: Trump calls Kashmir 'a complicated situation', once again offers his proposal to mediate

Read @ANI Story | https://t.co/s…"
82,RT @TheAngryLord: Rahul Gandhi was so happy when UPA was in power. Anticipation of arrest of #PChidambaram is certainly causing fear https:…
83,"@RubikaLiyaquat "" Mr Kingpin """
84,"RT @kanimozhi: @iMac_too @PChidambaram_IN It is @RahulGandhi way to teach a lesson to PC, for blackmailing him for a LS seat for his son.…"
85,"RT @timesofindia: Govt using ED, CBI and sections of the media to character assassinate Chidambaram: @RahulGandhi https://t.co/Be8ywXo0zA"
86,@SahibaB22622422 THIS QUESTION CAN BE SOLVED ONLY BY RAHUL GANDHI
87,"RT @TimesNow: SENSATIONAL CHARGE by @Swamy39. He says, P Chidambaram is Gandhis’ ‘money launderer’. | INDIA UPFRONT with Rahul Shivshankar.…"
88,@_ajaykumargupta possible...last month only PC had spoken about the discomfort in Congress due to uncertainty after Rahul resigned
89,"RT @BalaKri74583199: Missing Alert!

Name: P Chidambaram
Last seen: In New Delhi
Height: Of Corruption
Colour: Similar to Rahul Gandhi’s Fu…"
90,"RT @Vidyaraj51: Spinning industry facing biggest crisis! Huge job losses

D slowdown in textile ind, which provides employment to abt 10 cr…"
91,"RT @adah_sharma: Cheetah ! Cheetah ! Cheetah ! That's Rahul not me ! 
I'm a Leopard 👼😇🐆 - #KuchKuchHotaHaiTumNahiSamjhoge
#Rahulfromkuchkuc…"
92,"RT @IndianExpress: Parle, founded in 1929, employs about 100,000 people. In 2003, its flagship biscuit brand Parle-G was considered the wor…"
93,Why do Rahul Gandhi and Gandhi family always stand in support of the corrupt persons of the country and the opponen… https://t.co/rAKPtngITq
94,@news18dotcom @CNNnews18 A pity they restrict themselves to character assassination Mr. Rahul.
95,"Modi government using CBI, ED to target #Chidambaram : Rahul 

https://t.co/yXwDA3U8BB

#RahulGandhi"
96,"Insights into #insurance product management by #insurtech @hippo_insurance's CPO on @InsNerds podcast.
Another inst… https://t.co/Y0oDfx6qEF"
97,"@fayedsouza Rahul Gandhi as Congress President. 
Industry - Politics."
98,RT @TimesNow: #Breaking | No hearing today on the Anticipatory Bail plea of @PChidambaram_IN. Supreme Court denies urgent hearing of the ba…
99,RT @TimesNow: #Breaking | No hearing today on the Anticipatory Bail plea of @PChidambaram_IN. Supreme Court denies urgent hearing of the ba…
100,RT @TheAngryLord: Rahul Gandhi was so happy when UPA was in power. Anticipation of arrest of #PChidambaram is certainly causing fear https:…
